page,date,loop,score,decision
"jabal-al-qarah (المعايرة)",2026-09-05,1,91,"APPROVE (المعايرة — سبع مراحل، دورة واحدة؛ المحاور 28/26/19/8/10؛ القارئ الأعمى 24 ملاحظة؛ سياج الوقائع حذف 3 وقائع أضافتها المرحلة 1 ونجت من ثلاث مراحل؛ ثمانية أحكام خط P1–P8 مثبَّتة في termbase؛ تصحيح إملائي مسنَد: Утверждённый بـё في 16 بنداً)"
"ui-chrome (164 strings: 144 ui.ru + 10 categories + 10 inline)",2026-09-05,1,91,"APPROVE (دفعة نصوص الواجهة؛ المحاور 28/26/19/8/10؛ 91/100 · دقة 28 · طبيعية 26 · التزام 19 · ملاءمة 8 · بنية 10 · APPROVE بدورة واحدة · 38 ملاحظة: 7 مطبَّقة · 18 مرفوضة · 13 علّة مصدر · أهمّها أن گلوس P1 أخفق أمام القارئ فصار «(или Эль-Хаса)»)"
"ru-attr-1 (المعالم 1 + أسئلة): qasr-ibrahim + al-uqair + jawatha-mosque + sahood + ameeriah + jabal-al-qarah",2026-09-05,1,91,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: qasr-ibrahim 92 · al-uqair 91 · jawatha-mosque 91 · sahood 91 · ameeriah 91 · jabal-al-qarah 92؛ المحاور 28/26/19/8/10؛ APPROVE (الدفعة الأولى ru-attr-1: خمس صفحات + أسئلة جبل القارة + det.faq — سبع مراحل، دورة واحدة؛ الصفحات 92/91/91/91/91/92 والدفعة 91؛ المحاور 28/26/19/8/10؛ القارئ الأعمى 36 ملاحظة: 15 مطبَّقة · 11 مرفوضة · 10 علل مصدر؛ 18 إضافة معجم (8 محقَّقة · 7 بالنمط · 3 سلاسل قرار)؛ سلسلة إسناد فريق الموقع صارت «Подтверждено редакцией этого сайта»))"
"ru-attr-2 (المعالم 2): muhairis + khuzam + baiah + uqair-castle + jabri-mosque",2026-09-06,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: muhairis 91 · khuzam 91 · baiah 91 · uqair-castle 90 · jabri-mosque 90؛ المحاور 28/25/19/8/10؛ APPROVE — الدفعة الثانية ru-attr-2 (خمس صفحات معالم بلا بنود بطاقة ولا أسئلة: محيرس · خزام · بيت البيعة · قلعة العقير · جامع الجبري) سبع مراحل ودورة واحدة؛ الصفحات 91/91/91/90/90 ودرجة الدفعة 90 = أدنى صفحة وهي العتبة تماماً؛ المحاور 28/25/19/8/10؛ القارئ الأعمى 46 ملاحظة بُتّت كلها: 15 مطبَّقة و16 مرفوضة و15 علّة مصدر؛ أربع عشرة عملية تحرير أثقلها ردُّ اسم القلعة إلى متن صفحتها بعدما كان «его крепость» وتسميةُ عربية «зимам» لغةً كي يُفهم غياب الشبه مع «Хузам» ونقلُ المقابل الميلادي إلى ملخص بيت البيعة؛ عشرون مدخل معجم منها سبعة pending بالنمط؛ وأثقل علل المصدر أن الصفحات الخمس بلا بند زيارة واحد وأن جامع الجبري العامر بلا آداب زيارة)"
"ru-attr-3 (المعالم 3): jalaniyah + dibs + bubakr-ribat + qubba-mosque + tahimiyah-s",2026-09-06,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: jalaniyah 91 · dibs 91 · bubakr-ribat 90 · qubba-mosque 91 · tahimiyah-s 90؛ المحاور 27/26/19/8/10؛ الدفعة الثالثة (خمسة مساجد) تمرّ بدرجة 90/100 وهي أدنى صفحة فيها (bubakr-ribat وtahimiyah-s؛ والثلاث الأخرى 91) — عند حدّ العتبة لا فوقها. المحتوى دقيق بلا واقعة مضافة والمعجم منضبط بسبعة وعشرين مدخلاً بجنسها وتصريفها ومصدرها وبتصحيح مُقَرّ بمصدرين لتهجئة الجعلانية بالعين، لكن المحور الطبيعي هو الذي خُصم عليه: القارئ الأعمى أمسك ست علل روسية خالصة لم تمسكها خمس مراحل تنظر إلى المصدر — تركيباً غير روسيّ في وصف الطوابق، وكالكةً في فعل موضع القرية، وتناقضاً يجعل أهل الأحساء قادمين إليها، وثلاثة التباسات ضمير وإشارة. بُتّت الملاحظات الثلاث والأربعون كلها (اثنتان وعشرون مطبَّقة وأربع عشرة مرفوضة وسبع علل مصدر)، وأُجري ثمانية عشر تعديلاً في الملخّصات والمتون وحدها، وقُرّرت سياسة گلوس واحدة تسري على الدفعات القادمة، وسُوّي تفاوتان في المصدر (مقابل 1430 هجرية ووصف سجلّ المساجد) وسُجّلا لإياد مع عشر علل مصدر أخطرها تناقض تأسيس مسجد القبة وغياب أي بيان تشغيلي عن الصفحات الخمس. وقبل التطبيق يجب سدّ عطب في الأداة: apply.mjs لا يقرأ termbase_corrections فلا يمضي تصحيح الاسم إلى صفحة مسجد جواثا المنشورة.)"
"ru-attr-4 (المعالم 4): tahimiyah-e + hubaish + umzurainiq + uqair-mosque + abubakr-mosque",2026-09-06,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: tahimiyah-e 91 · hubaish 91 · umzurainiq 90 · uqair-mosque 90 · abubakr-mosque 90؛ المحاور 27/26/19/8/10؛ الدفعة الرابعة (خمسة مساجد: التهيمية الشرقي · الحبيش · أم زرينيق · مسجد ميناء العقير · مسجد الشيخ محمد بن أبي بكر الملا) تمرّ بدرجة 90/100 وهي أدنى صفحة فيها (‏umzurainiq وuqair-mosque وabubakr-mosque؛ والصفحتان الأخريان 91) — عند حدّ العتبة لا فوقها؛ المحاور 27/26/19/8/10 بدورة واحدة وسبع مراحل. القارئ الأعمى أعطى 37 ملاحظة: 12 مطبَّقة و21 مرفوضة و4 علل مصدر، وثلاثٌ من المطبَّقة أمسكت ما نجا من خمس مراحل — «всего» التي تقلب نموّ المساحة سبعة أضعاف إلى نفيٍ له، و«здесь» التي تجعل ترميماً منتهياً جارياً فتُناقض الجملة السابقة، وتصادمَ اسم «المسجد الشرقي» بين صفحتين حُلَّ بإرساء الاسم الثاني بحيّ الكوت المذكور قبله بجملة بلا واقعة جديدة. المعجم منضبط بصفر خرق و12 إضافة كلها pending، والبنية سليمة و`verify.mjs 07` بلا مشكلة صلبة. واثنتا عشرة علّة مصدر تُرفع لإياد أخطرها أن الصفحات الخمس بلا أي بيان زيارة بينما ثلاثٌ منها تدعو الزائر صراحةً.)"
"ru-attr-5 (المعالم 5): shaban + kanzan + arbaa + thulaim + tuwaither",2026-09-06,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: shaban 90 · kanzan 91 · arbaa 91 · thulaim 90 · tuwaither 91؛ المحاور 28/26/19/7/10؛ خمس صفحات جبال بلا بنود بطاقة ولا أسئلة، 25 حقلاً، مرّت بسبع مراحل ودورة واحدة: الدرجات 90 (شبعان) و91 (كنزان) و91 (الأربع) و90 (الثليم) و91 (أبو حصيص)، ودرجة الدفعة 90 وهي العتبة بالضبط فالقرار APPROVE. حكم الحاكم على 32 ملاحظة للقارئ الأعمى: 12 مطبَّقة و12 مرفوضة بسند مكتوب (P5 سبع مرات، وP8 وtitel_regel وhidzhra وyo وsklonenie وحفظ تمييز مغارات/كهوف الذي تصنعه العربية) و8 علل مصدر رُفعت لإياد؛ و16 تعديلاً في 9 حقول كلها تصريح مرجع أو رفع كالك وكنتسيليريت بصفر واقعة جديدة، أبرزها ربط اسم الأربع بالهضاب الأربع لا بالتعرية وتسمية طرفَي انتقال الاسم في صفحة الشبعان. المخرج الاصطلاحي الأهم حكم العين بثلاثة فروع مسنَدة (يليها صائت فيُطال، يليها صامت فيُضعَّف الصائت السابق، أخيرة فتُهمَل بسابقة يانبو) ويُثبَّت في _meta لأنه يحكم الـ47 صفحة الباقية، ومعه شارة معلم طبيعي الجديدة وتوحيد حي على район. والصفحتان عند الحدّ نزلتا في ملاءمة المسافر وحدها بعلة في المصدر لا في الترجمة: صفحة الشبعان تحيل قارئها إلى صفحة أخرى، وصفحة الثليم تنتهي بمقترح لم ينفذ، وأخطر ما رُفع تناقض سطر الموقع مع المتن في صفحة أبو حصيص.)"
"ru-attr-6 (المعالم 6): asfar + uqair-beach + salwa-beach + hubail-lake + king-abdullah-park",2026-09-07,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: asfar 91 · uqair-beach 91 · salwa-beach 90 · hubail-lake 90 · king-abdullah-park 90؛ المحاور 28/26/19/7/10؛ الدفعة السادسة (بحيرتان وشاطئان ومنتزه) تمرّ بدرجة **90/100** وهي أدنى صفحة فيها — عند حدّ العتبة لا فوقها — بسبع مراحل ودورة واحدة. المحاور 28/26/19/7/10. المحتوى دقيق بصفر واقعة مضافة، والمعجم منضبط بأحد عشر مدخلاً محقَّقاً كلّها وبصفر خرق، والبنية سليمة بلا مشكلة صلبة في `verify.mjs 07`. والخصم موزّع على محورين: الطبيعية، لأن القارئ الأعمى أمسك ثمانية أعطاب روسية خالصة نجت من خمس مراحل تنظر إلى المصدر (كالكة «окрашивается светом»، وتصادم «порт стоит»، والتباس «слива» ثمرةً، والتباس الفاعل في «озеро  которое образовали»، ونبرةُ «а ещё это»، وجملةٌ إعلانية مبتورة، و«а» تعطف غير المتقابل مرتين) — طُبِّقت كلّها؛ وملاءمةُ المسافر، وهي بعلّةٍ في المصدر لا في الترجمة: منتزه الملك عبدالله جملةٌ واحدة مطبوعة مرتين بلا سطر موقع، وشاطئ سلوى ينتهي عند سطر الموقع لمكانٍ يبعد 150 كم، وبحيرة الحبيل تدعو إلى ماءٍ مصدره الصرف الزراعي بلا كلمة عن سلامته، وشاطئ العقير يعرض حجزاً إلكترونياً بلا قناة. بُتّت الملاحظات السبع والخمسون كلها: 12 مطبَّقة و25 مرفوضة بسند مكتوب (‏P5 تسع مرات، وP1/C20 وP8 وأزواج الذاكرة والمعجم وقاعدة بناء الأسئلة من متن الصفحة) و20 علّة مصدر. وأثمنُ ما خرجت به الدفعة اصطلاحياً حكمان يسريان على ما بقي: مكوّنات اليونسكو مكوّناتُ **الموقع المسجَّل** لا الواحة (بصيغة زوجَي `khuzam` و`sahood` المنشورَين)، وحدُّ العدد بين الكلمة والأرقام عند ثلاثة أرقام (فتبقى «примерно в двадцати километрах» في `tuwaither` صحيحة وتصير «примерно в 150 км» في سلوى واجبة).)"
"ru-attr-7 (المعالم 7): delfoon-lake + national-park + jawatha-park + najm-park + mushaqar",2026-09-07,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: delfoon-lake 90 · national-park 90 · jawatha-park 91 · najm-park 90 · mushaqar 90؛ المحاور 28/26/19/7/10؛ الدفعة السابعة (بحيرة موسمية وأربعة منتزهات) تمرّ بدرجة **90/100** — وهي أدنى صفحة فيها، أي عند حدّ العتبة لا فوقها — بسبع مراحل ودورة واحدة، والمحاور 28/26/19/7/10. النصّ المسلَّم دقيقٌ بلا واقعة مضافة والمعجم منضبطٌ بصفر خرق والبنية سليمة، والخصم على محورين: الطبيعية، لأن القارئ الأعمى أمسك ثمانية أعطاب روسية خالصة نجت من خمس مراحل (أثقلها فخّ «удобства» وتعلّق «принял посетителей с зеленью») طُبِّقت كلها؛ وملاءمة المسافر، وهي بعلّة مصدرٍ صرفة: ثلاث صفحات من خمس بلا بيان تشغيلي واحد. وأخطر ما في الدفعة علّةُ دقّةٍ نجت من السياج وأمسكها القارئُ فصُحّحت هنا — «построенный по её подобию» في ملخّص المشقر، دعوى مماثلةٍ لحصنٍ مجهول الموقع تسرّبت من `summary_en` وحدها والعربيةُ تقول «استلهاماً» في الموضعين.)"
"ru-attr-8 (المعالم 8): kanzan-park + koot-park + musa-park + stadium-park + ahsa-museum",2026-09-07,1,90,"APPROVE (درجة الدفعة = أدنى صفحة؛ الصفحات: kanzan-park 90 · koot-park 91 · musa-park 90 · stadium-park 90 · ahsa-museum 90؛ المحاور 28/26/19/7/10؛ **الدفعة الثامنة تمرّ بـ90/100 — وهي أدنى صفحة فيها، أي عند حدّ العتبة لا فوقها — بسبع مراحل ودورة واحدة.** المحاور 28/26/19/7/10، والصفحات 90 لأربعٍ و91 لـ`koot-park`. **الدقة 28**: النصّ المسلَّم لا يقول شيئاً لا يقوله المصدر. سياج المرحلة 4 حذف واقعتين مستوردتين (أخطرهما «В исторических сочинениях» المنقولة من الصفحة الشقيقة `kanzan`، ونقلُها من صفحةٍ **مصدَّقةٍ بدرجةٍ سابقة** هو أخطر تسرّبٍ في هذا الخط) وردّ دعوى حجمٍ في «игровых комплексов»؛ والعربية أُخذت فيصلاً مرّتين — في ملخّص `musa-park` حيث تنسب الإنجليزيةُ الحديقة إلى المستشفى وحده، وفي «تزيد على» التي ليّنتها الإنجليزية إلى «some». ولم أجد في الصفحات الخمس دعوى واحدة كاذبة. والخصمُ الوحيد على هذا المحور أن العنوان نُقض في المرحلة 4 بحقٍّ بعد أن كتبت المرحلة 1 عنواناً يناقض گلوسَ متنها هي. **الطبيعية 26 — وهنا وقع الخصم الأكبر**: القارئ الأعمى أمسك اثني عشر عطباً روسياً خالصاً نجت من خمس مراحل كلُّها ترى المصدر، طُبِّقت كلها في أربعة عشر تعديلاً. أثقلها اثنان **يُنتجان قراءةً كاذبة لا عثرة أسلوب**: سقوطُ «между» في `musa-park` — وهي في المصدرين معاً — جعل الاسمَ المحصور بـ«ёлочки» يُقرأ اسماً للشراكة نفسها لا طرفاً فيها، أي أعاد توزيع الشريكين؛ والفاصلةُ في `ahsa-museum` («к исламским эпохам  Первому и Второму…») تُقرأ في الروسية بدلاً قبل أن تُقرأ عطفاً، فتقول إن العصور الإسلامية هي الدولتان السعوديتان — والإنجليزية تعطف بـ«and». **وكلتاهما مرّت بفحص المرحلة 5 الذي أعلن التلازم والترقيم PASS**، وهو الصنف الذي يعدّه هذا المشروع أسوأ إخفاق: فحصٌ يمرّ على ما كان عليه أن يمسكه. ومعهما كالكةُ «проживать ценности»، وسببيةٌ مختلقة أدخلتها الترجمة («Потому он и стал» على جملةٍ لا تُشتقّ منها)، وتكرارُ جذعٍ («часть … частично») وتكرارُ لفظٍ («игровых элементов для инклюзивной игры») لا يحمله المصدر، وتجانسُ «стоит»/«сто́ит» في الصفحة الوحيدة التي يبحث فيها القارئ عن سعر، وتعدّدُ معنى «памятник» الذي يُخرج القارئ بواقعةٍ خاطئة، وتعدادٌ بمستويين بلا رابطٍ يغلق الداخلي، وحشوان وضميران متجاوران. الاثنا عشر أكثر من ثمانية الدفعتين السادسة والسابعة، وشدّتُها مماثلة — فالخصمُ نقطةٌ لا نقطتان، على سابقة الدفعة الثالثة (‏22 تعديلاً بمحورٍ 26). **الالتزام 19**: صفر خرقٍ في `verify.mjs`، وكل اسم علمٍ في الصفحات الخمس إمّا مدخلٌ قائم أُعيد حرفياً أو مدخلٌ جديد بمصدرٍ وجنسٍ وحكم تصريف (سبعة عشر مدخلاً — لا ثمانية عشر كما في الموجز — منها ستة `verified` بشواهد مقروءة: «Эль-Хубар» و«Дильмун» و«Герра» و«район Эль-Фейсал» و«Второе Саудовское государство» و«люди с инвалидностью»). وحُسمت ثلاث مسائل اصطلاحية بأسانيد خارجية لا بذوق: «Гуманизация» لا «Очеловечивание»، و«Эль-Фейсал» لا «Эль-Фейсаль»، و«люди с инвалидностью» بدليلَي لغةٍ روسيَّين متخصّصَين. والخصم على ثلاثة أشياء: اثنا عشر مدخلاً من السبعة عشر تبقى `pending` (بلا شاهدٍ روسيّ)، **وعلّتان في المعجم نفسه أُصلحتا في هذه المرحلة** — مثالُ التصريف في مدخل «Каср-Ибрахим» كان يناقض حاشيةَ المدخل نفسه ويكتب «во дворце» الممنوعة بـ`no_pleonasm`، وحقلُ `rod` في مدخل «Эль-Ку» يبدأ بميمٍ **عربية** (U+0645) لا سيريلية (U+043C) — وهو فخٌّ رُصد في الدفعة السابعة ولم يُغلَق، وأثرُه إخفاقٌ صامتٌ لأيّ فحصٍ يقرأ الجنس من الحقل. ومعهما سطرُ تصحيحٍ في المدخل نفسه طرفاه متطابقان («Эль-Ку» ⇐ «Эль-Ку»). **ملاءمة المسافر 7 — عند أرضية السلسلة**: هذه أفقر دفعةٍ للزائر حتى الآن، **وصفر بندٍ موثّق في خمس صفحات من خمس** (الدفعتان السادسة والسابعة كان فيهما ثلاثٌ واثنتان تحملان بنوداً). `stadium-park` جملةٌ واحدة مطبوعة مرتين بلا حقل موقعٍ أصلاً؛ و`kanzan-park` لا تقول للزائر هل المكان مفتوح؛ و`ahsa-museum` أسوأها لأنها تبني نفسها في خطة يوم الزائر («نقطة انطلاق مثالية … قبل جولتك») ثم تحجب عنه الساعة والرسم والعنوان. والقارئ الأعمى استطاع بلوغ **واحدةٍ من خمس** (‏`koot-park`، بالقلعة والسوق). ولم أنزل إلى 6 لسببٍ واحد مكتوب: الدفعة الرابعة سجّلت «الصفحات الخمس بلا أي بيان زيارة» وأخذت **8** على هذا المحور، فإنزالُه إلى 6 هنا ينقض معايرةً منشورة. **والعجز كلُّه في المصدر لا في الترجمة** — ولذلك لم يُصلَح شيءٌ منه بالاختلاق، بل رُفع ثلاث عشرة علّةً جديدة إلى إياد. **البنية 10**: الحقول كما في المصدر حرفاً بحرف — `stadium-park` بلا `area_ru` (لا `area_en` له)، ولا `bestTime_ru` في أيٍّ من الخمس، و`practical` و`faq` فارغتان في الخمس بحكم `ru-attr-1` (السؤال يُبنى من بندٍ موثّق، والبند غير الموجود لا يُجيز سؤالاً). وكتلة `fields` مطابقةٌ للحقول العليا بايتاً ببايت بعد التعديلات، ولا مفتاح frontmatter ولا مسار ولا رابط داخل حقل. **الملاحظات الإحدى والستون بُتّت كلها**: 17 مطبَّقة (في أربعة عشر تعديلاً، إذ يشترك بعضها في تعديل واحد) · 17 مرفوضة بسندٍ مكتوب (‏P5 وP8 وP1/C20 وB7-3 وB7-4 و`titel_regel` و`gloss_regel` وأزواج الذاكرة المنشورة) · 27 علّة مصدر. **وثلاث ملاحظاتٍ رُدَّت بالتمييز لا بالتعميم**، وهي التي أعتدّ بها أكثر من التعديلات: الملاحظة 18 مرفوضة والملاحظة 25 مطبَّقة وهما شكوى واحدة — لأن الأولى تنقل ترتيب المصدر والثانية قدّمت ظرفاً يؤخّره المصدر؛ والملاحظة 4 مطبَّقة بينما B7-4 يُبقي الشرطة المائلة في العنوان — لأن نطاق ذلك الحكم `title_en` وحده. والملاحظة 2 (أثقل ما رفعه القارئ: «ماذا أكتب في الخريطة؟») **علّةُ مصدرٍ لا عطبُ ترجمة**: السلسلة الروسية مكتملة (الجبل «Эш-Шууба»، واسمه التاريخي «Канзан»، والمشروع رسمياً «Парк горы Эш-Шууба») وحكم B7-3 مستوفًى باسم الجنس الملاصق، والباقي — أيّ اسمٍ على اللافتة — لا يقوله مصدرٌ من الخمسة، والعربيةُ نفسها تعنون بالاسم التاريخي وتعلن في متنها اسماً رسمياً مختلفاً.)"
